book_id,title,genre,author,publication_year,available_copies
1001,Dune, BIOGRAPHIE,Liu Cixin,2017,4
1002,Fondation,Polar,George Orwell,1990,6
1003,Le Meilleur des mondes,Informatique,Liu Cixin,1960,2
1004,1984,Essai,J.R.R. Tolkien,2009,7
1005,Fahrenheit 451,Polar,Octavia Butler,1983,5
1006,Sapiens,Biographie,Victor Hugo,1912,7
1007,Homo Deus,Développement personnel,Alain Damasio,1924,5
1008,Le Petit Prince,Développement personnel,Frank Herbert,2020,5
1009,Les Misérables,Essai,Daniel Kahneman,1933,6
1010,Notre-Dame de Paris,Jeunesse,Virginia Woolf,1993,4
1011,Germinal,Biographie,Margaret Atwood,2001,3
1012,L'Étranger,Fantasy,Stephen King,1952,6
1013,La Peste,Fantasy,Liu Cixin,1940,5
1014,Le Comte de Monte-Cristo,Classique,Yuval Noah Harari,,1
1015,Orgueil et Préjugés,Science-fiction,Mona Chollet,1942,2
1016,Jane Eyre,Jeunesse,Ted Chiang,1986,4
1017,Frankenstein,DÉVELOPPEMENT PERSONNEL,James Clear,2006,4
1018,Dracula,Roman,Fred Vargas,1881,2
1019,Le Hobbit,Développement personnel,Antoine de Saint-Exupéry,1936,8
1020,Le Seigneur des Anneaux,Science-fiction,Émile Zola,2022,2
1021,Harry Potter à l'école des sorciers,Jeunesse,Virginia Woolf,1914,6
1022,Bilbo le Hobbit, Jeunesse,Daniel Kahneman,2009,8
1023,La Horde du Contrevent,Roman,Virginia Woolf,2001,5
1024,Les Robots,Classique,Fred Vargas,1950,8
1025,Ubik,Classique,Virginia Woolf,1950,2
1026,Neuromancien,Essai,Albert Camus,1940,6
1027,Solaris,Polar,George Orwell,2018,3
1028,La Main gauche de la nuit,Roman,James Clear,1939,3
1029,Le Nom de la Rose,Classique,Daniel Kahneman,1896,7
1030,L'Ombre du vent,Polar,Virginia Woolf,2018,7
1031,Atomic Habits,Science-fiction,Daniel Kahneman,1932,7
1032,Penser vite et lentement,Informatique,Fred Vargas,1885,7
1033,Deep Work,JEUNESSE,Umberto Eco,1881,5
1034,Clean Code,Développement personnel,Agatha Christie,1987,4
1035,Python pour la data,Jeunesse,Albert Camus,1936,7
1036,Data Science Handbook,Jeunesse,James Clear,1887,6
1037,Femmes invisibles,Développement personnel,Virginia Woolf,1922,3
1038,Sorcières,Informatique,Frank Herbert,,7
1039,King Kong Théorie,Informatique,Liu Cixin,2024,1
1040,Une chambre à soi,Fantasy,Yuval Noah Harari,1989,8
1041,L'Art de la guerre,Roman,Albert Camus,1892,7
1042,Le Prince,Polar,Virginia Woolf,1934,6
1043,Méditations, Polar,Albert Camus,1977,7
1044,La Vie secrète des arbres,Essai,Mona Chollet,1900,1
1045,Le Gène égoïste,Biographie,Umberto Eco,1893,4
1046,Une brève histoire du temps,Fantasy,Fred Vargas,1890,1
1047,Cosmos,Classique,Frank Herbert,1931,3
1048,Le Charme discret de l'intestin,Classique,Mona Chollet,1912,2
1049,Jamais seul,INFORMATIQUE,Virginia Woolf,1935,5
1050,Microbes,Polar,Alain Damasio,1922,2
1051,La Servante écarlate,Roman,Ray Bradbury,1959,1
1052,Les Testaments,Essai,James Clear,1976,4
1053,Americanah,Fantasy,Ray Bradbury,1942,5
1054,Beloved,Informatique,Leïla Slimani,1910,1
1055,Normal People,Polar,Daniel Kahneman,2016,6
1056,Le problème à trois corps,Fantasy,Ted Chiang,2009,6
1057,La forêt sombre,Science-fiction,Mona Chollet,1987,2
1058,La mort immortelle,Développement personnel,Ted Chiang,1972,8
1059,Pachinko,Roman,Antoine de Saint-Exupéry,1991,5
1060,Shining,Informatique,Fred Vargas,2017,8
1061,Ça,Jeunesse,Margaret Atwood,1991,5
1062,Misery,Polar,George Orwell,1942,5
1063,Rebecca,Jeunesse,Fred Vargas,1942,8
1064,Le cercle littéraire des amateurs d'épluchures de patates, Informatique,Ursula Le Guin,1977,1
1065,Le vieux qui ne voulait pas fêter son anniversaire,JEUNESSE,Antoine de Saint-Exupéry,1963,8
1066,L'Alchimiste,Classique,Albert Camus,1970,6
1067,Millénium,Essai,Agatha Christie,,1
1068,Gone Girl,Biographie,George Orwell,1928,4
1069,Le parfum,Développement personnel,Agatha Christie,2005,4
1070,La vérité sur l'affaire Harry Quebert,Jeunesse,Virginia Woolf,2005,1
1071,La disparition de Stephanie Mailer,Fantasy,Émile Zola,1955,7
1072,En attendant Bojangles,Classique,Liu Cixin,1958,6
1073,Chanson douce,Jeunesse,Stephen King,2021,6
1074,La tresse,Développement personnel,Ursula Le Guin,2020,6
1075,Changer l'eau des fleurs,Jeunesse,J.R.R. Tolkien,1949,5
1076,Là où chantent les écrevisses,Classique,Margaret Atwood,1910,4
1077,La délicatesse,Polar,Margaret Atwood,1910,3
1078,L'élégance du hérisson,Classique,Margaret Atwood,1935,8
1079,La promesse de l'aube,Essai,Alain Damasio,2014,5
1080,Kiffe kiffe demain,Fantasy,J.R.R. Tolkien,1929,4
1081,No et moi,POLAR,J.R.R. Tolkien,1925,1
1082,Petit pays,Biographie,Albert Camus,1912,1
1083,Le lambeau,Science-fiction,J.R.R. Tolkien,2021,3
1084,Yoga,Jeunesse,Frank Herbert,1906,5
1085,Civilizations, Jeunesse,Virginia Woolf,2002,6
1086,HHhH,Roman,Albert Camus,1893,8
1087,La carte et le territoire,Fantasy,James Clear,1896,8
1088,Tous les hommes n'habitent pas le monde de la même façon,Fantasy,Yuval Noah Harari,1893,3
1089,Anomalie,Informatique,George Orwell,1957,4
1010,Notre-Dame de Paris,Jeunesse,Virginia Woolf,1993,4
1091,La plus secrète mémoire des hommes,Informatique,Fred Vargas,1937,7
1092,La nuit des temps,Jeunesse,J.R.R. Tolkien,1993,7
1093,Ravage,Essai,Alain Damasio,1895,2
1094,Les Fourmis,Classique,Albert Camus,1934,2
1095,La planète des singes,Roman,Antoine de Saint-Exupéry,1941,2
1096,Le cycle de Fondation,Roman,Daniel Kahneman,1880,8
1097,La stratégie Ender,INFORMATIQUE,J.R.R. Tolkien,2000,1
1098,Dune — édition municipale,Classique,Octavia Butler,1953,5
1099,Fondation — édition municipale,Jeunesse,Liu Cixin,1898,4
1100,Le Meilleur des mondes — édition municipale,Essai,Daniel Kahneman,1930,2
