loan_id,reader_id,book_id,loan_date,return_date,status
5001,70,1029,2025-02-08,2025-02-20,returned
5002,10,1008,2025-02-12,2025-03-05,returned
5003,57,1016,2025-04-30,2025-05-28,returned
5004,35,1065,2025-05-19,2025-05-27,returned
5005,77,1006,2025-04-21,2025-05-10,returned
5006,4,1012,2025-02-28,2025-03-04,returned
5007,98,1087,2025-03-10,2025-03-24,returned
5008,61,1067,2025-04-24,2025-05-08,returned
5009,75,1056,2025-05-06,2025-06-08,returned
5010,45,1053,2025-03-27,2025-04-05,returned
5011,21,1043,2025-04-16,2025-05-07,returned
5012,85,1052,2025-05-21,,ongoing
5013,12,1041,2025-03-06,2025-04-03,returned
5014,66,1001,2025-05-19,2025-05-25,returned
5015,25,9999,2025-04-03,2025-05-07,returned
5016,81,1057,2025-01-14,2025-01-25,returned
5017,37,1057,2025-05-05,,ongoing
5018,81,1078,2025-03-03,2025-03-25,returned
5019,71,1002,2025-05-22,2025-06-08,returned
5020,15,1060,2025-01-31,2025-02-12,returned
5021,64,1092,2025-03-16,2025-04-05,returned
5022,999,1062,2025-05-01,2025-05-13,returned
5023,50,1025,2025-05-11,2025-05-22,Returned 
5024,9,1036,2025-04-17,2025-05-22,returned
5025,35,1001,2025-03-14,2025-04-17,returned
5026,20,1058,2025-05-18,2025-06-11,returned
5027,71,1098,2025-05-20,2025-06-12,returned
5028,25,1090,2025-03-03,2025-03-20,returned
5029,100,1053,2025-01-12,2025-02-14,returned
5030,91,1049,2025-04-09,2025-04-21,returned
5031,64,1005,2025-02-02,2025-02-26,returned
5032,13,1057,2025-01-26,2025-02-27,returned
5033,2,1093,2025-02-06,2025-02-18,returned
5034,10,1061,2025-03-09,2025-04-06,returned
5035,84,1011,2025-03-26,2025-04-22,returned
5036,41,1081,2025-05-05,2025-05-10,returned
5037,80,1009,2025-03-02,2025-03-23,returned
5038,30,1096,2025-01-24,2025-02-02,returned
5039,98,1082,2025-01-26,2025-02-17,returned
5040,4,1006,2025-03-25,2025-04-15,returned
5041,46,1048,2025-04-21,,ongoing
5042,68,1053,2025-05-25,2025-06-08,returned
5043,22,1023,2025-01-21,2025-02-17,returned
5044,80,1088,2025-03-03,2025-03-15,returned
5045,30,1060,2025-03-07,2025-03-10,returned
5046,60,1037,2025-05-20,,Returned 
5047,57,1045,2025-05-31,2025-06-30,returned
5048,89,1033,2025-04-27,2025-05-12,returned
5049,50,1062,2025-01-28,2025-02-22,returned
5050,74,1038,2025-03-17,,ongoing
5051,85,1051,2025-03-12,,ongoing
5052,88,1100,2025-01-13,2025-02-16,returned
5053,37,1100,2025-02-28,2025-03-25,returned
5054,29,1082,2025-02-18,2025-03-01,returned
5055,81,1013,2025-01-11,2025-02-11,returned
5056,5,1075,2025-04-04,2025-04-12,returned
5057,38,1042,2025-04-17,,ongoing
5058,17,9999,2025-04-04,2025-04-24,returned
5059,22,1033,2025-05-04,2025-05-25,returned
5060,96,1044,2025-01-30,2025-02-06,returned
5061,19,1097,2025-02-27,2025-03-27,returned
5062,72,1047,2025-01-24,2025-01-27,returned
5063,34,1069,2025-02-01,2025-02-20,returned
5064,75,1049,2025-04-06,,ongoing
5065,30,1061,2025-01-07,2025-01-30,returned
5066,79,1029,2025-01-17,2025-02-18,returned
5067,90,1039,2025-04-15,,ongoing
5068,6,1005,2025-03-19,2025-03-29,returned
5069,13,1031,2025-05-18,,Returned 
5070,59,1048,2025-05-19,2025-05-31,returned
5071,999,1084,2025-01-26,2025-02-24,returned
5072,36,1005,2025-04-05,2025-05-06,returned
5073,31,1047,2025-01-26,2025-02-21,returned
5074,70,1083,2025-04-02,,ongoing
5075,36,1025,2025-02-01,2025-03-05,returned
5076,12,1085,2025-02-24,2025-02-28,returned
5077,7,1043,2025-03-04,2025-03-20,returned
5078,9,1098,2025-05-22,2025-06-07,returned
5079,30,1043,2025-02-07,2025-02-10,returned
5080,36,1019,2025-02-03,2025-02-17,returned
5021,64,1092,2025-03-16,2025-04-05,returned
5082,46,1031,2025-05-31,2025-06-14,returned
5083,34,1007,2025-02-02,2025-02-12,returned
5084,96,1009,2025-05-02,2025-05-28,returned
5085,66,1076,2025-01-28,2025-02-14,returned
5086,79,1006,2025-05-14,2025-05-18,returned
5087,8,1062,2025-04-13,2025-04-22,returned
5088,63,1092,2025-04-24,,ongoing
5089,11,1042,2025-02-07,,ongoing
5090,36,1080,2025-05-30,2025-06-22,returned
5091,49,1077,2025-05-16,2025-06-20,returned
5092,78,1056,2025-01-26,2025-02-05,Returned 
5093,84,9999,2025-05-22,2025-06-07,returned
5094,56,1058,2025-02-28,2025-04-01,returned
5095,52,1054,2025-01-25,2025-02-17,returned
5096,86,1033,2025-04-06,2025-05-09,returned
5097,9,1012,2025-01-22,,ongoing
5098,13,1096,2025-04-06,2025-04-12,returned
5099,76,1072,2025-05-24,2025-06-03,returned
5100,53,1046,2025-04-19,2025-04-25,returned
