registration_id,event_id,reader_id,registration_date,attended
9001,7018,31,2025-01-07,yes
9002,7047,71,2025-04-05,
9003,7060,71,2025-06-06,no
9004,7012,9,2025-04-12,yes
9005,7092,93,2025-05-15,yes
9006,7053,99,2025-05-28,yes
9007,7010,17,2025-01-19,yes
9008,7058,60,2025-03-30,
9009,7017,100,2025-05-31,
9010,7024,99,2025-04-21,no
9011,7065,8,2025-05-13,yes
9012,7999,39,2025-02-11,no
9013,7042,91,2025-03-30,no
9014,7067,37,2025-03-06,yes
9015,7026,82,2025-03-12,
9016,7017,81,2025-06-07,yes
9017,7069,12,2025-02-13,
9018,7076,75,2025-02-13,no
9019,7085,80,2025-03-28,
9020,7073,6,2025-01-21,yes
9021,7006,83,2025-03-09,
9022,7084,27,2025-04-17,
9023,7080,82,2025-05-08,yes
9024,7081,70,2025-03-19,yes
9025,7062,32,2025-03-18,yes
9026,7059,10,2025-02-10,yes
9027,7057,54,2025-04-29,yes
9028,7027,44,2025-02-06,
9029,7041,92,2025-03-30,YES 
9030,7052,17,2025-05-12,yes
9031,7072,14,2025-03-03,yes
9032,7060,16,2025-04-26,yes
9033,7032,19,2025-01-13,yes
9034,7038,888,2025-04-18,
9035,7032,21,2025-05-28,yes
9036,7093,41,2025-02-10,no
9037,7064,66,2025-05-08,yes
9038,7040,64,2025-01-24,yes
9039,7051,65,2025-03-03,yes
9040,7028,75,2025-01-13,yes
9041,7007,37,2025-06-02,yes
9042,7084,87,2025-03-15,yes
9043,7069,2,2025-04-21,yes
9044,7018,34,2025-04-14,yes
9045,7047,6,2025-01-14,yes
9046,7073,72,2025-04-03,no
9047,7071,37,2025-04-09,yes
9048,7065,58,2025-03-13,
9049,7080,88,2025-01-31,
9050,7017,13,2025-04-06,yes
9051,7044,72,2025-02-06,yes
9052,7026,78,2025-04-13,
9053,7065,6,2025-01-10,yes
9054,7018,92,2025-05-02,yes
9055,7067,59,2025-06-05,no
9056,7066,18,2025-06-06,yes
9057,7041,21,2025-06-07,yes
9058,7095,39,2025-03-28,YES 
9059,7065,66,2025-05-06,
9060,7091,73,2025-05-02,yes
9061,7003,48,2025-01-29,yes
9062,7054,75,2025-01-07,yes
9063,7077,61,2025-05-29,yes
9064,7074,30,2025-05-30,yes
9065,7062,22,2025-06-08,
9066,7100,49,2025-03-04,no
9067,7005,74,2025-02-18,yes
9068,7003,57,2025-04-18,yes
9069,7020,53,2025-04-16,no
9070,7065,100,2025-05-01,
9031,7072,14,2025-03-03,yes
9072,7067,27,2025-03-25,
9073,7085,62,2025-04-07,
9074,7041,23,2025-05-17,yes
9075,7044,70,2025-03-09,yes
9076,7079,62,2025-03-05,no
9077,7999,72,2025-02-27,yes
9078,7039,99,2025-02-23,yes
9079,7089,91,2025-03-23,yes
9080,7062,45,2025-03-12,
9081,7037,16,2025-05-20,
9082,7049,51,2025-02-07,yes
9083,7038,6,2025-01-21,yes
9084,7045,57,2025-05-03,yes
9085,7028,26,2025-03-11,
9086,7072,90,2025-02-05,yes
9087,7014,79,2025-03-03,YES 
9088,7032,888,2025-02-27,
9089,7082,30,2025-01-26,yes
9090,7053,43,2025-01-26,yes
9091,7088,99,2025-01-02,no
9092,7071,21,2025-05-02,yes
9093,7062,84,2025-03-15,no
9094,7042,37,2025-01-23,yes
9095,7084,74,2025-05-17,no
9096,7095,93,2025-02-14,yes
9097,7054,23,2025-04-12,yes
9098,7064,24,2025-01-10,yes
9099,7002,39,2025-06-04,
9100,7014,43,2025-04-27,yes
