order_id,customer_id,date,city,channel,product,quantity,unit_price,promo_code,distance_km,delay_min,rating,comment,is_bad_review
O001802,C0031,13/01/2026 19:15,lyon,  web  ,mocha,4,450,VIP,2.666312378503633,18.0,1,Déçue… mocha froid et pas bon 😡,1
O001191,C0132,2025-10-24 12:28:00, Paris,STORE,americano,3,2.66,,0.0,14.7,5/5,"Accueil top, commande nickel.",0
O001818,C0384,2025-11-24 13:27:00,  Paris  , app, brownie,1,2.17,HAPPYHOUR,94.27027163329653,184.8,4,"Parfait, rien à dire.",0
O000252,C0061,2025-11-21 12:19:00, Paris,App,LATTE,1,3.75,HAPPYHOUR,1.6471992013340278,14.8,5/5,"Très bon, je recommanderai 👍",0
O002506,C0235,2025-10-15 18:13:00,  Paris  ,app,cappuccino,1,4.05,,0.663955228962949,20.1,5,"Accueil top, commande nickel. !!!",0
O001118,C0080,2025-12-16 18:51:00,Marseille ,web,AMERCIANO,1,2.29,HAPPYHOUR,2.792031033695157,26.6,1,"Trop long, 27 min d'attente, inadmissible.",1
O001412,C0400,2025-10-19 13:42:00,Lyon,app,cappuccino ,1,3.59,,0.4240853531199428,18.4,4/5,Super cappuccino ! Rapide et délicieux 😍,0
O002114,C0193,11/14/2025 01:45 PM,bordeaux,web,TEA,1,2.72,HAPPYHOUR,1.5451513358035769,14.3,4,"livraison rapide, produit conforme.",0
O000409,C0197,2025-11-11 13:49:00,Paris,app,espresso,2,1.35,VIP,3.2423468105359774,25.6,5/5,"Parfait,  rien  à  dire.",0
O002580,C0406,2025/09/02,paris,web, cappuccino,1,3.94,,1.368256729149201,12.5,4,,0
O002255,C0094,2026-01-12 19:41:00,paris,store,tea,1,"2,84",,0.0,-8.6,5,,0
O000053,C0149,30-10-25 14h43, Paris,web ,espresso,1,"2,05",,0.9756920221852718,10.9,4,"Très bon, je recommanderai 👍",0
O000645,C0305,2025-12-14 09:20:00,bordeaux,web , amerciano,2,269,,1.3202932349262824,12.7,5,"Accueil top, commande nickel. !!!",0
O001764,C0266,2025-10-03 12:40:00,pairs,app,Espresso,1,2.25,,1.6844018298935062,14.0,5,"Accueil top, commande nickel.",0
O002777,C0378,10/09/2025 10:47 AM,Lyon,app, espresso,0,2.38,HAPPYHOUR,0.5320173869188256,7.9,4,"Parfait, rien à dire.",0
O000901,C0274,2025/12/04,Lyon,App,espresso,2,2.05,HAPPYHOUR,0.7480524957854381,18.9,5,"Très bon, je recommanderai 👍 !!!",0
O001074,C0416,2025/11/26,  Paris  ,  app  ,,1,2.92,STUDENT,0.35091251799339346,17.6,4/5,"J'adore ce café, merci ! ☕",0
O000473,C0244,2025-09-16 09:48:00, Marseille, app,cookie ,1,167,,0.7922704399861642,5.2,4/5,"Accueil top, commande nickel. !!!",0
