order_id,order_datetime,store,channel,payment_method,member,product,category,quantity,unit_price,discount_rate,total_amount,customer_rating,barista,promo_code
CS-0067,2026-01-05 09:05:00,Lille Gare,sur place,carte,non,Bagel veggie,Sandwich,1,6.9,0.0,6.9,5.0,Léa,
CS-0031,2026-01-05 09:35:00,Lille Gare,à emporter,app,non,Toast avocat,Sandwich,2,7.5,0.0,15.0,,Marco,
CS-0041,2026-01-05 13:30:00,Lomme,sur place,carte,oui,Chai latte,Boisson chaude,1,4.3,0.0,4.3,5.0,Marco,MORNING10
CS-0319,2026-01-06 09:05:00,Lille Centre,sur place,app,oui,Cappuccino,Boisson chaude,1,3.7,0.0,3.7,5.0,Inès,
CS-0007,2026-01-06 09:20:00,Lille Centre,à emporter,carte,oui,Cold brew,Boisson froide,1,4.5,0.0,4.5,,Marco,
CS-0021,2026-01-06 10:25:00,Lille Gare,sur place,carte,oui,Banana bread,Pâtisserie,1,3.4,0.15,2.89,,Samir,COOKIELOVE
CS-0063,2026-01-06 13:20:00,Lille Centre,sur place,app,oui,Americano,Boisson chaude,1,2.8,0.0,2.8,3.0,Marco,
CS-0006,2026-01-06 13:25:00,Lille Gare,sur place,carte,oui,Jus orange,Boisson froide,2,3.9,0.0,7.8,,Léa,
CS-0013,2026-01-07 15:30:00,Lille Centre,à emporter,carte,non,Latte,Boisson chaude,1,4.1,0.0,4.1,4.0,Nora,
CS-0306,2026-01-08 07:25:00,Lille Centre,sur place,carte,oui,Thé vert,Boisson chaude,1,3.2,0.05,3.04,4.0,Léa,MORNING10
CS-0266,2026-01-08 10:10:00,Lille Centre,sur place,carte,non,Latte,Boisson chaude,1,4.1,0.0,4.1,4.0,Léa,
CS-0015,2026-01-08 17:05:00,Lille Gare,sur place,carte,oui,Banana bread,Pâtisserie,3,3.4,0.0,10.2,,Marco,
CS-0318,2026-01-09 08:55:00,Lille Centre,à emporter,espèces,non,Latte,Boisson chaude,1,4.1,0.0,4.1,,Nora,
CS-0331,2026-01-09 09:45:00,Lomme,sur place,carte,oui,Thé vert,Boisson chaude,1,3.2,0.1,2.88,3.0,Samir,
CS-0190,2026-01-09 13:50:00,Lomme,à emporter,carte,non,Muffin myrtille,Pâtisserie,1,3.2,0.0,3.2,,Marco,
CS-0034,2026-01-09 16:45:00,Lille Gare,à emporter,carte,non,Cappuccino,Boisson chaude,1,3.7,0.0,3.7,,Marco,
CS-0133,2026-01-10 07:15:00,Lille Gare,sur place,carte,non,Cookie chocolat,Pâtisserie,1,2.9,0.0,2.9,,Inès,
CS-0317,2026-01-10 09:45:00,Lille Centre,à emporter,carte,oui,Thé vert,Boisson chaude,1,3.2,0.05,3.04,,Inès,MORNING10
