nom;adresse;arrondissement
Musée du Louvre;Rue de Rivoli;75001
Musée de l'Orangerie;Jardin des Tuileries;75001
Musée des Arts Décoratifs;107 Rue de Rivoli;75001
Musée des Arts et Métiers;60 Rue Réaumur;75003
Musée Carnavalet;23 Rue de Sévigné;75003
Musée Picasso;5 Rue de Thorigny;75003
Musée Cognacq-Jay;8 Rue Elzévir;75003
Maison de Victor Hugo;6 Place des Vosges;75004
Centre Pompidou;Place Georges-Pompidou;75004
Musée de Cluny;28 Rue du Sommerard;75005
Musée Curie;1 Rue Pierre et Marie Curie;75005
Grande Galerie de l’Évolution;36 Rue Geoffroy-Saint-Hilaire;75005
Musée de la Monnaie;11 Quai de Conti;75006
Musée Zadkine;100 bis Rue d’Assas;75006
Musée d'Orsay;1 Rue de la Légion d'Honneur;75007
Musée Rodin;77 Rue de Varenne;75007
Musée du Quai Branly - Jacques Chirac;37 Quai Branly;75007
Musée Maillol;59-61 Rue de Grenelle;75007
Musée des Plans-Reliefs;129 Rue de Grenelle;75007
Petit Palais;Avenue Winston-Churchill;75008
Grand Palais;Avenue Winston-Churchill;75008
Musée Jacquemart-André;158 Boulevard Haussmann;75008
Palais de la Découverte;Avenue Franklin Roosevelt;75008
Musée Grévin;10 Boulevard Montmartre;75009
Musée de la Vie romantique;16 Rue Chaptal;75009
Musée Gustave Moreau;14 Rue de La Rochefoucauld;75009
Musée de Montmartre;12 Rue Cortot;75018
Musée de l’Armée;129 Rue de Grenelle;75007
Musée Marmottan Monet;2 Rue Louis Boilly;75016
Palais de Tokyo;13 Avenue du Président Wilson;75016
Musée Guimet;6 Place d’Iéna;75016
Musée de l’Homme;17 Place du Trocadéro;75016
Fondation Louis Vuitton;8 Avenue du Mahatma Gandhi;75116
Cité de l’Architecture et du Patrimoine;1 Place du Trocadéro;75016
Musée Bourdelle;18 Rue Antoine Bourdelle;75015
Musée Pasteur;25 Rue du Docteur Roux;75015
Musée de la Libération de Paris;4 Avenue du Colonel Rol-Tanguy;75014
Catacombes de Paris;1 Avenue du Colonel Henri Rol-Tanguy;75014
Musée des Égouts de Paris;Pont de l’Alma;75007



