order_id,product_id,quantity,unit_price,discount_percent
O0001,P006,7,4.6,0
O0002,P007,8,14.5,0
O0002,P005,3,5.8,0
O0002,P005,7,5.8,10
O0002,P007,6,14.5,0
O0003,P002,3,9.9,15
O0004,P007,7,14.5,10
O0005,P002,5,9.9,15
O0006,P008,1,2.1,15
O0006,P005,3,5.8,10
O0007,P003,6,2.5,0
O0007,P001,6,18.9,5
O0008,P001,4,18.9,10
O0008,P002,2,9.9,15
O0009,P003,8,2.5,10
O0009,P003,5,2.5,10
O0010,P005,7,5.8,15
O0010,P006,8,4.6,10
O0011,P006,1,4.6,10
O0012,P001,4,18.9,0
O0013,P005,8,5.8,0
O0013,P003,8,2.5,0
O0014,P002,7,9.9,0
O0015,P001,7,18.9,15
O0016,P004,8,4.2,0
O0016,P007,3,14.5,0
O0017,P001,1,18.9,0
O0018,P008,8,2.1,0
O0018,P007,1,14.5,0
O0018,P007,1,14.5,5
O0018,P005,8,5.8,0
O0019,P005,4,5.8,0
O0019,P001,6,18.9,0
O0020,P001,2,18.9,0
O0020,P002,2,9.9,15
O0021,P001,2,18.9,5
O0021,P006,5,4.6,0
O0022,P007,3,14.5,15
O0022,P005,8,5.8,0
O0022,P002,1,9.9,5
O0023,P005,3,5.8,0
O0023,P002,4,9.9,0
O0024,P001,5,18.9,15
O0024,P002,3,9.9,0
O0024,P002,2,9.9,15
O0025,P006,4,4.6,15
O0025,P005,8,5.8,0
O0026,P005,1,5.8,0
O0026,P006,3,4.6,15
O0026,P005,3,5.8,15
O0026,P008,7,2.1,10
O0027,P006,3,4.6,5
O0028,P006,4,4.6,15
O0029,P003,4,2.5,0
O0029,P003,7,2.5,0
O0029,P003,6,2.5,5
O0029,P004,5,4.2,0
O0030,P008,4,2.1,0
O0031,P004,4,4.2,0
O0031,P004,7,4.2,0
O0031,P005,2,5.8,0
O0032,P001,2,18.9,0
O0032,P003,5,2.5,0
O0032,P002,7,9.9,0
O0033,P007,4,14.5,0
O0034,P006,7,4.6,0
O0034,P006,6,4.6,15
O0035,P007,6,14.5,5
O0035,P005,3,5.8,0
O0035,P007,7,14.5,15
O0036,P007,1,14.5,0
O0036,P005,4,5.8,5
O0036,P006,8,4.6,5
O0037,P003,2,2.5,0
O0037,P006,2,4.6,0
O0037,P005,4,5.8,0
O0037,P003,1,2.5,0
O0038,P004,7,4.2,5
O0038,P007,4,14.5,0
O0038,P001,2,18.9,5
O0038,P004,3,4.2,15
O0039,P002,8,9.9,0
O0039,P008,6,2.1,5
O0040,P003,8,2.5,5
O0040,P005,4,5.8,15
O0040,P005,8,5.8,15
O0040,P004,5,4.2,5
O0041,P006,6,4.6,10
O0041,P002,3,9.9,0
O0041,P004,7,4.2,15
O0042,P007,6,14.5,10
O0042,P008,7,2.1,0
O0042,P004,7,4.2,5
O0042,P001,7,18.9,5
O0043,P004,8,4.2,0
O0043,P005,7,5.8,5
O0043,P001,7,18.9,0
O0043,P007,3,14.5,5
O0044,P002,7,9.9,0
O0045,P007,6,14.5,0
O0045,P008,6,2.1,0
O0045,P007,5,14.5,5
O0046,P001,6,18.9,0
O0047,P004,1,4.2,10
O0047,P003,4,2.5,0
O0048,P008,5,2.1,0
O0048,P003,2,2.5,0
O0049,P007,4,14.5,0
O0049,P004,2,4.2,15
O0049,P005,2,5.8,10
O0049,P001,6,18.9,10
O0050,P001,7,18.9,5
O0050,P002,7,9.9,0
O0050,P008,3,2.1,5
O0051,P008,7,2.1,15
O0051,P005,6,5.8,0
O0051,P002,5,9.9,5
O0051,P004,8,4.2,10
