order_id,order_date,client_id,store_id,status
O0001,2026-03-29,C011,S01,delivered
O0002,2026-01-09,C007,S03,delivered
O0003,2026-01-18,C017,S04,delivered
O0004,2026-01-21,C026,S04,returned
O0005,2026-03-01,C017,S03,returned
O0006,2026-02-13,C004,S03,cancelled
O0007,2026-04-27,C004,S03,returned
O0008,2026-01-03,C004,S03,delivered
O0009,2026-03-04,C027,S01,returned
O0010,2026-04-22,C020,S04,delivered
O0011,2026-02-27,C004,S02,delivered
O0012,2026-03-12,C008,S02,delivered
O0013,2026-04-26,C002,S03,delivered
O0014,2026-04-11,C016,S04,delivered
O0015,2026-02-24,C014,S04,delivered
O0016,2026-02-13,C026,S01,delivered
O0017,2026-03-01,C008,S01,cancelled
O0018,2026-04-29,C025,S02,delivered
O0019,2026-02-24,C023,S04,delivered
O0020,2026-01-07,C019,S04,returned
O0021,2026-04-21,C008,S04,delivered
O0022,2026-03-27,C023,S03,delivered
O0023,2026-03-21,C019,S01,delivered
O0024,2026-02-06,C006,S04,returned
O0025,2026-03-12,C005,S03,delivered
O0026,2026-04-26,C030,S01,delivered
O0027,2026-01-02,C004,S01,delivered
O0028,2026-01-17,C002,S03,delivered
O0029,2026-02-01,C022,S01,delivered
O0030,2026-04-11,C023,S01,cancelled
O0031,2026-04-15,C030,S04,delivered
O0032,2026-02-14,C021,S04,returned
O0033,2026-04-04,C026,S03,cancelled
O0034,2026-01-06,C023,S04,delivered
O0035,2026-04-19,C004,S03,returned
O0036,2026-04-06,C029,S02,returned
O0037,2026-02-26,C022,S02,returned
O0038,2026-02-01,C016,S01,cancelled
O0039,2026-03-08,C015,S01,returned
O0040,2026-03-20,C027,S04,returned
O0041,2026-01-10,C023,S03,delivered
O0042,2026-01-20,C023,S02,delivered
O0043,2026-01-01,C012,S03,cancelled
O0044,2026-04-28,C005,S01,cancelled
O0045,2026-04-21,C015,S02,delivered
O0046,2026-02-02,C027,S01,cancelled
O0047,2026-03-25,C003,S01,delivered
O0048,2026-03-02,C022,S01,returned
O0049,2026-02-09,C004,S01,delivered
O0050,2026-02-24,C022,S03,delivered
O0051,2026-01-23,C024,S03,returned
O0052,2026-03-20,C022,S04,delivered
O0053,2026-03-04,C007,S03,delivered
O0054,2026-03-13,C025,S02,cancelled
O0055,2026-03-09,C012,S04,returned
O0056,2026-01-16,C024,S02,delivered
O0057,2026-02-07,C008,S03,delivered
O0058,2026-04-22,C025,S04,delivered
O0059,2026-02-26,C011,S02,delivered
O0060,2026-04-14,C019,S03,delivered
O0061,2026-04-27,C015,S03,returned
O0062,2026-01-23,C018,S01,delivered
O0063,2026-03-18,C016,S03,delivered
O0064,2026-01-30,C030,S03,returned
O0065,2026-04-16,C005,S01,delivered
O0066,2026-02-08,C023,S04,delivered
O0067,2026-04-18,C028,S01,delivered
O0068,2026-03-25,C015,S03,delivered
O0069,2026-03-05,C010,S04,returned
O0070,2026-02-02,C011,S01,cancelled
O0071,2026-01-25,C017,S03,returned
O0072,2026-01-21,C010,S01,returned
O0073,2026-04-17,C016,S04,delivered
O0074,2026-04-03,C010,S04,delivered
O0075,2026-01-06,C011,S04,cancelled
O0076,2026-01-19,C014,S02,delivered
O0077,2026-01-09,C008,S03,delivered
O0078,2026-04-01,C028,S01,cancelled
O0079,2026-02-15,C012,S04,delivered
O0080,2026-04-22,C013,S02,cancelled
